addresses,balances
0x5B83D446A1Fe23e460CD31F000e5331BF89E8329,116.89
0xd1eE0449e383E87DC848F7a171A9F793A122A462,87.67
0x58f8aAF15fBe99EeC0C62940e7699aAcb7a01298,116.89
0x32e2445f9a33E92C8ac97D7Ca873E9C9C213b9BC,116.89
0x1292243eBc81fb51923164B93CF1AAD2a46F6E1D,116.89
0xb302D395e1D028bEbbF16793462E2178B1414615,58.45
0xCe5Fdb039d61eb2c4AAEcB362aC93C5A463435EC,116.89
0xac2498B30b46D215d5f764eF492635FF071451c6,29.22
0x2bf5B98695eb2214973dDd3645BB07F445415f7c,29.22
0xe7F0075fD5769080A0544ee1c3f79f766E9a6778,116.89
0x593a5626e9C5b0bF1dC714C730042f80236188B6,29.22
0xc42840881F6AB7ac59c83559A2B782D502481c2d,87.67
0x4Fa946f8CE359949B9D84E5bc9DAaCaFBC81E756,175.34
0x01BE660ea527C13B3806ee82450F306582479B28,116.89
0xFbccF8d6f51753578D863aD94fd7a6E102A6Cd59,116.89
0x6Bc933dd09134a4b43b22CF19e0E27d2FE14cbf3,87.67
0xd9AcB1F68130771C6285f998D8F2Fe61f8560e35,116.89
0x75792194Cbbe82a2277E9fB23ccB9E8e909A334e,131.5
0xF5511810b12dE57E9257c3003C01A516Fe2fC118,58.45
0xF0bBD9b2cd5Ec68289D12774C99555FeF27Fff04,29.22
0x03ED42Cd978950103826fB1d6F5Ae04521f44A42,58.45
0xc7238807F9D1d99aa23540AF6935BaF6Bd95d0Bb,43.83
0x2d2f2D074Cbd036d60694b8b52D67E88bB11537d,58.45
0x043b08732239a3Cdda2D27D03670a242DaA62ba7,87.67
0x8488636d2BBd24f10573D7254E5d2Df9f43b1f71,58.45
0xEE49Cc89ee8fd5FFe2563253B9e0d04Bb260E635,87.67
0x0649c8c75aea1148b3e51b5f7189ff49ff4b3fd5,116.89
0xaF4B2c60964882CBe2bCA5cc0a7dcB7492E7E845,116.89
0x2B1cbb0a2D9E2817F39900275EfaaBEc439Fc98C,87.67
0x5797fb230A42be745104b0cAc063850c66B6D982,43.83
0xd13f67021985ED48998021f49F7da71FB17bA1d1,116.89
0x79F96Ebc95D853b6F330d9506638a165381DC525,116.89
0xd14d51D75251Ad473b9EC9777dDe061f752EB692,116.89
0x05C8fD89D3c3Ac1424089F27C17F1Aa28edAfd57,116.89
0x39aA41Ee029f8320C4095d0b08a0bDdB3B58CAbb,116.89
0x17A7d45565B76D56C31E3B2f9F469500F046132c,116.89
0x6652653a2BFAf74C4e2f96afE21822aB983E22bd,116.89
0x2E73C5C9890818016C7E2a520E902befcd103c9E,116.89
0xB9dF85F3394E07Bb820434Fda69DD4D78C82787B,87.67
0x3b74C1977843a60D1fE987716cbd0Ec1Fda4e344,175.34
0xc9d6EdeE6875F23287D78DC20435351688009726,116.89
0x99F143F0df58cbfA5A4eb0fC66B8176f8FA235F4,87.67
0xCC276b5F6aca6380F5e1ED25732dBddF88344fF9,87.67
0x2291abc84423087d75179c9a9de9e08674906607,116.89
0x0BD95AFc7c5bA8c064EAb2B751F60375f213e676,116.89
0xC34c944DB6A3D37f3740Ccc87cc317048fD62E01,87.67
0x97626b879CBb887f74A215241fcFa76f802b696F,116.89
0xFE7aFe7A337c993cB7De17a3EdBEf95C7fBDeeE1,116.89
0x2D16C1B98eCF14E2B3E253A989552B2b8F3bE4a8,116.89
0x0a0B0837e54316381d7BCAaD9b80438eF18256D9,87.67
0x113d3685b31619bac46ec16d1167603E9451515c,29.22
0xdD1D17576E9815A08e90874C8e943d0298f94879,116.89
0xcf7F1E7c4108cd77C36fB82A2B3f4802Ede3Ce65,116.89
0xb8E68e65add2526f077BB1b7175A42E6d48428A5,87.67
0x5c3d3Edb2e3cf3B8bC2324ef17335e7a0cdC7e60,116.89
0x1e0e71CB1994947B03aB3e4a56ABA8aFCeE3Fc3A,116.89
0x91E90f4FF33F025bf472E09ce0973cE0226bA7CE,116.89
0xF37136A81Ab53E0faB1d23D3fFF4976776fD97f7,87.67
0x1A9304e4167DE99FA903B02B1988b0E1780dA832,116.89
0x46cB8e58121E9D3d1eC0fb6A90a342d7D61B9351,87.67
0xDBDa52345bf5E77d5e94de0EE419A66Ef4CEFfed,116.89
0x97bC83E36A8d7d2D5b7EB9DEC224B48622ab67E7,87.67
0xc7f71b547704b01B8C88382532329C8274FB5827,116.89
0xeb98502f8C9F88453889AB4C80636697d073DB58,58.45
0x87e96d42Bd77CA0a476B3297Fe17e79649A13923,87.67
0x7cD7b91cEd906FE622902ec9870809FbaC87277F,116.89
0x902205475b44654a2034b196dcC65b8dAe5A7F7D,116.89
0xfD2ce69eb11BaBe76F2Dc11B36eC7898639E663b,116.89
0x1857Ca18b6E57c0c785Aa81c211450caD48624Ad,58.45
0x5002eF4352526b3686D810fEB9266CDFca3A522E,116.89
0x35d9471185175f18951Ee708aEA10828Dd7Ef3F4,116.89
0xcaC069E7e64217386D33f9257f8749e5f986475f,116.89
0x975Dbc54638E9431fc0fe66BbCBbC6E0054823D1,116.89
0x5b2A53902C05eaa364d33A13508327CBbc206aCB,116.89
0xD2d4aBC3a1F1Bcc539941A2019AdeC7fdaEcF24E,87.67
0x8272C140a862d135192EF358B30527cf3e996c48,175.34
0x9C5F8Add5Fa2274a896f0F9Ba9aB7942B7743979,116.89
